contentid,contenttypeid,title,addr1,addr2,areacode,sigungucode,mapx,mapy,cat1,cat2,cat3,tel,firstimage,createdtime,modifiedtime,zipcode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3,firstimage2,cpyrhtDivCd,mlevel
2784321,39,개금밀면,부산광역시 부산진구 가야대로482번길 9-4,(개금동),6,7,129.0251059496,35.1525864700,A05,A0502,A05020100,,http://tong.visitkorea.or.kr/cms/resource/26/2787626_image2_1.jpg,20211201191334,20250116105318,47324,26,230,FD,FD01,FD010100,http://tong.visitkorea.or.kr/cms/resource/26/2787626_image2_1.jpg,Type3,6
2834026,14,갤러리이알디 부산,"부산광역시 해운대구 해운대해변로 302 (중동, 대림맨션)",,6,16,129.1639936365,35.1610686425,A02,A0206,A02060500,,http://tong.visitkorea.or.kr/cms/resource/60/2836060_image2_1.jpg,20220808162726,20250521133910,48099,26,350,VE,VE07,VE070600,http://tong.visitkorea.or.kr/cms/resource/60/2836060_image3_1.jpg,Type3,6
2760771,39,거대갈비,부산광역시 해운대구 달맞이길 22 (중동),,6,16,129.1672794347,35.1620685910,A05,A0502,A05020100,,http://tong.visitkorea.or.kr/cms/resource/56/2761256_image2_1.jpg,20211021224836,20250902114540,48099,26,350,FD,FD01,FD010100,http://tong.visitkorea.or.kr/cms/resource/56/2761256_image2_1.jpg,Type3,6
2904908,39,거대곰탕,부산광역시 해운대구 해운대해변로 163 현대베네시티아파트,상가동 103호,6,16,129.1497310611,35.1584047875,A05,A0502,A05020100,,http://tong.visitkorea.or.kr/cms/resource/98/2904898_image2_1.jpg,20221110151702,20251103171814,48091,26,350,FD,FD01,FD010100,http://tong.visitkorea.or.kr/cms/resource/98/2904898_image3_1.jpg,Type3,6
2867215,39,거창맷돌순두부,부산광역시 남구 유엔로 221 (대연동),,6,4,129.1005555434,35.1306125441,A05,A0502,A05020100,,http://tong.visitkorea.or.kr/cms/resource/07/2867207_image2_1.JPG,20221014112935,20250619172748,48501,26,290,FD,FD01,FD010100,http://tong.visitkorea.or.kr/cms/resource/07/2867207_image3_1.JPG,Type3,6
3422647,15,게임 체험 팝업 전시 ‘Game-Playground’,"부산광역시 수영구 광남로 96 (광안동, 광안 포디움프레스티지 1)",지하 1층,6,16,129.1151037338,35.1504883662,A02,A0208,A02081300,010-8552-8044,http://tong.visitkorea.or.kr/cms/resource/58/3579258_image2_1.jpg,20241120162631,20251208161314,48303,26,500,EV,EV03,EV030400,http://tong.visitkorea.or.kr/cms/resource/58/3579258_image3_1.jpg,Type3,6
129631,12,경상좌수영성지,부산광역시 수영구 수영성로 43,(수영동),6,12,129.1117117085,35.1743106361,A02,A0201,A02010100,,http://tong.visitkorea.or.kr/cms/resource/02/3476802_image2_1.jpg,20070720090000,20250409094203,48229,26,500,HS,HS01,HS010100,http://tong.visitkorea.or.kr/cms/resource/02/3476802_image3_1.jpg,Type3,6
2838907,39,고관함박,부산광역시 동구 중앙대로349번길 14 (수정동),,6,5,129.0462742511,35.1270313878,A05,A0502,A05020200,,http://tong.visitkorea.or.kr/cms/resource/97/2838897_image2_1.jpg,20220818142455,20250828105311,48791,26,170,FD,FD02,FD020300,http://tong.visitkorea.or.kr/cms/resource/97/2838897_image3_1.jpg,Type3,6
3336600,38,고래서이뻐,부산광역시 해운대구 우동1로38번길 15-1 (우동),,6,16,129.1583856629,35.1657319056,A04,A0401,A04010900,,,20240723173052,20250311105223,48087,26,350,SH,SH05,SH050300,,,6
2785272,39,고향연화,부산광역시 기장군 기장읍 연화길 33-8,,6,3,129.2245979306,35.2172384782,A05,A0502,A05020300,,http://tong.visitkorea.or.kr/cms/resource/82/2785282_image2_1.jpg,20211202224016,20250828093425,46082,26,710,FD,FD02,FD020200,http://tong.visitkorea.or.kr/cms/resource/82/2785282_image2_1.jpg,Type3,6
2782765,12,곰내연밭,부산광역시 기장군 철마면 웅천리 254-4,,6,3,129.1695450043,35.2954092493,A01,A0101,A01010700,,http://tong.visitkorea.or.kr/cms/resource/58/2794158_image2_1.jpg,20211129222303,20250325104359,,26,710,NA,NA04,NA040700,http://tong.visitkorea.or.kr/cms/resource/58/2794158_image3_1.jpg,Type3,6
134326,39,곰보식당,부산광역시 사상구 낙동대로 1564,,6,9,128.9878357701,35.1965808534,A05,A0502,A05020100,,,20020926090000,20250306150858,46901,26,530,FD,FD01,FD010100,,,6
